eps,pe_psia,isp_amb_s,isp_vac_s,mode
4.75,5.305737801399774,192.36835375106736,264.14525158882174,"Separated (Psep=6.15845, epsSep=4.54516)"
4.8,5.226921552066969,192.1920565640797,264.4268510022061,"Separated (Psep=6.15845, epsSep=4.54516)"
4.85,5.150128766504281,192.01564442203974,264.7042901718943,"Separated (Psep=6.15845, epsSep=4.54516)"
4.9,5.075286324669924,191.83911706618247,264.9776753257977,"Separated (Psep=6.15845, epsSep=4.54516)"
4.95,5.002324491107186,191.66247430935317,265.2471088739635,"Separated (Psep=6.15845, epsSep=4.54516)"
5.0,4.931176724796944,191.4857160312808,265.5126895844134,"Separated (Psep=6.15845, epsSep=4.54516)"
5.05,4.861779501562241,191.30884217425614,265.7745127489773,"Separated (Psep=6.15845, epsSep=4.54516)"
5.1,4.794072148024826,191.13185273888382,266.0326703402047,"Separated (Psep=6.15845, epsSep=4.54516)"
5.15,4.727996686298738,190.95474778029975,266.2872511593821,"Separated (Psep=6.15845, epsSep=4.54516)"
5.2,4.663497688589389,190.77752740442298,266.5383409767928,"Separated (Psep=6.15845, epsSep=4.54516)"
5.25,4.60052214099444,190.60019176450584,266.78602266433904,"Separated (Psep=6.15845, epsSep=4.54516)"
5.3,4.539019315841964,190.42274105792612,267.03037632106475,"Separated (Psep=6.15845, epsSep=4.54516)"
5.35,4.478940651937268,190.24517552307793,267.2714793922014,"Separated (Psep=6.15845, epsSep=4.54516)"
5.4,4.420239642168542,190.06749543653703,267.50940678188124,"Separated (Psep=6.15845, epsSep=4.54516)"
5.45,4.362871727957622,189.8897011103215,267.74423096013663,"Separated (Psep=6.15845, epsSep=4.54516)"
5.5,4.306794200062903,189.71179288937978,267.9760220643369,"Separated (Psep=6.15845, epsSep=4.54516)"
5.55,4.251966105313958,189.5337711491551,268.20484799559006,"Separated (Psep=6.15845, epsSep=4.54516)"
5.6,4.198348158862505,189.35563629337653,268.4307745101919,"Separated (Psep=6.15845, epsSep=4.54516)"
5.65,4.145902661574203,189.17738875191182,268.6538653066264,"Separated (Psep=6.15845, epsSep=4.54516)"
5.7,4.094593422219943,188.99902897879514,268.8741821082144,"Separated (Psep=6.15845, epsSep=4.54516)"
5.75,4.044385684156671,188.82055745035532,269.0917847417504,"Separated (Psep=6.15845, epsSep=4.54516)"
5.8,3.9952460561763874,188.64197466345217,269.3067312123404,"Separated (Psep=6.15845, epsSep=4.54516)"
5.85,3.947142447280841,188.46328113382623,269.51907777463975,"Separated (Psep=6.15845, epsSep=4.54516)"
5.9,3.9000440051066154,188.28447739457013,269.7288790006707,"Separated (Psep=6.15845, epsSep=4.54516)"
5.95,3.8539210577738046,188.10556399462425,269.93618784454236,"Separated (Psep=6.15845, epsSep=4.54516)"
6.0,3.808745058937412,187.92654149743694,270.14105570403945,"Separated (Psep=6.15845, epsSep=4.54516)"
6.05,3.7644885358519717,187.74741047970804,270.34353247935485,"Separated (Psep=6.15845, epsSep=4.54516)"
6.1,3.721125040234822,187.56817153011974,270.543666629253,"Separated (Psep=6.15845, epsSep=4.54516)"
6.15,3.6786291017834896,187.3888252482268,270.7415052245554,"Separated (Psep=6.15845, epsSep=4.54516)"
6.2,3.636976184158859,187.20937224342583,270.93709399919356,"Separated (Psep=6.15845, epsSep=4.54516)"
6.25,3.596142643309013,187.02981313389745,271.130477399107,"Separated (Psep=6.15845, epsSep=4.54516)"
6.3,3.5561056879575803,186.8501485457314,271.32169862879545,"Separated (Psep=6.15845, epsSep=4.54516)"
6.35,3.5168433421710756,186.6703791119973,271.51079969597714,"Separated (Psep=6.15845, epsSep=4.54516)"
6.4,3.4783344098338747,186.4905054719309,271.69782145421095,"Separated (Psep=6.15845, epsSep=4.54516)"
6.45,3.4405584409600642,186.31052827018382,271.8828036436504,"Separated (Psep=6.15845, epsSep=4.54516)"
6.5,3.4034956997040684,186.13044815607537,272.06578493010943,"Separated (Psep=6.15845, epsSep=4.54516)"
6.55,3.367127133985847,185.95026578291842,272.2468029424216,"Separated (Psep=6.15845, epsSep=4.54516)"
6.6,3.3314343466378684,185.76998180739133,272.4258943082104,"Separated (Psep=6.15845, epsSep=4.54516)"
6.65,3.296399567978792,185.58959688892006,272.60309468820043,"Separated (Psep=6.15845, epsSep=4.54516)"
6.7,3.2620056297380886,187.7839992791503,272.7784388090228,"Separated (Psep=6.15845, epsSep=4.54516)"
6.75,3.2282359402578935,187.77882975325514,272.9519604947367,"Separated (Psep=6.15845, epsSep=4.54516)"
6.8,3.19507446089285,187.77358742615917,273.1236926970263,"Separated (Psep=6.15845, epsSep=4.54516)"
6.85,3.162505683544528,187.76827277487286,273.29366752414984,"Separated (Psep=6.15845, epsSep=4.54516)"
6.9,3.130514609276557,187.76288627843908,273.4619162687583,"Separated (Psep=6.15845, epsSep=4.54516)"
6.95,3.099086727936,187.7574284175798,273.6284694345113,"Separated (Psep=6.15845, epsSep=4.54516)"
7.0,3.068207998734989,187.75189967425868,273.79335676178795,"Separated (Psep=6.15845, epsSep=4.54516)"
7.05,3.037864831744386,187.74630053138495,273.9566072522125,"Separated (Psep=6.15845, epsSep=4.54516)"
7.1,3.0080440702403872,187.7406314724759,274.118249192306,"Separated (Psep=6.15845, epsSep=4.54516)"
7.15,2.9787329738678636,187.73489298135095,274.2783101761999,"Separated (Psep=6.15845, epsSep=4.54516)"
7.2,2.94991920256976,187.7290855418238,274.4368171275017,"Separated (Psep=6.15845, epsSep=4.54516)"
7.25,2.9215908012514307,187.72320963748058,274.59379632022234,"Separated (Psep=6.15845, epsSep=4.54516)"
7.3,2.8937361851309613,187.7172657514046,274.7492733990062,"Separated (Psep=6.15845, epsSep=4.54516)"
7.35,2.8663441257517412,187.71125436591834,274.9032733985937,"Separated (Psep=6.15845, epsSep=4.54516)"
7.4,2.839403737607621,187.70517596243863,275.05582076240927,"Separated (Psep=6.15845, epsSep=4.54516)"
7.45,2.812904465369414,187.69903102118892,275.2069393606818,"Separated (Psep=6.15845, epsSep=4.54516)"
7.5,2.7868360716634584,187.69282002105757,275.3566525077035,"Separated (Psep=6.15845, epsSep=4.54516)"
7.55,2.761188625387465,187.68654343943575,275.50498297849646,"Separated (Psep=6.15845, epsSep=4.54516)"
7.6,2.7359524905299093,187.68020175201247,275.6519530249518,"Separated (Psep=6.15845, epsSep=4.54516)"
7.65,2.7111183154662273,187.67379543263817,275.7975843912981,"Separated (Psep=6.15845, epsSep=4.54516)"
7.7,2.6866770227210846,187.66732495321025,275.94189832899406,"Separated (Psep=6.15845, epsSep=4.54516)"
7.75,2.6626197991556992,187.66079078348022,276.0849156112166,"Separated (Psep=6.15845, epsSep=4.54516)"
7.8,2.638938086574745,187.65419339101373,276.2266565466232,"Separated (Psep=6.15845, epsSep=4.54516)"
7.85,2.615623572723081,187.64753324100687,276.3671409928487,"Separated (Psep=6.15845, epsSep=4.54516)"
7.9,2.5926681826562876,187.64081079621087,276.5063883693835,"Separated (Psep=6.15845, epsSep=4.54516)"
7.95,2.5700640704721263,187.63402651684825,276.6444176700238,"Separated (Psep=6.15845, epsSep=4.54516)"
8.0,2.5478036113782823,187.62718086050782,276.78124747493234,"Separated (Psep=6.15845, epsSep=4.54516)"
10.0,1.8724075407573693,187.30790225448246,281.4434194731204,"Separated (Psep=6.15845, epsSep=4.54516)"
